doc_id,ref,sent_index,skill_digit,inference_reason,confidence
e-mc-130j-acd14fd33b,2.1,2,5,,low
e-mc-130j-acd14fd33b,2.1,3,3,verbs=analyzes|monitors,medium
e-mc-130j-acd14fd33b,2.1,3,5,verbs=analyzes|monitors,medium
e-mc-130j-acd14fd33b,2.1,3,7,verbs=analyzes|monitors,medium
e-mc-130j-acd14fd33b,2.1,3,9,verbs=analyzes|monitors,medium
e-mc-130j-acd14fd33b,2.1,4,1,,low
e-mc-130j-acd14fd33b,2.1,4,3,,low
e-mc-130j-acd14fd33b,2.1,4,5,,low
e-mc-130j-acd14fd33b,2.1,5,1,verbs=coordinates|operates|plans,high
e-mc-130j-acd14fd33b,2.1,5,3,verbs=coordinates|operates|plans,high
e-mc-130j-acd14fd33b,2.1,5,5,verbs=coordinates|operates|plans,high
e-mc-130j-acd14fd33b,2.1,5,7,verbs=coordinates|operates|plans,high
e-mc-130j-acd14fd33b,2.1,5,9,verbs=coordinates|operates|plans,high
e-mc-130j-acd14fd33b,2.1,6,1,verbs=performs,medium
e-mc-130j-acd14fd33b,2.1,6,3,verbs=performs,medium
e-mc-130j-acd14fd33b,2.1,6,5,verbs=performs,medium
e-mc-130j-acd14fd33b,2.1,7,1,,low
e-mc-130j-acd14fd33b,2.1,7,3,,low
e-mc-130j-acd14fd33b,2.1,7,5,,low
e-mc-130j-acd14fd33b,2.1,8,1,,low
e-mc-130j-acd14fd33b,2.1,8,3,,low
e-mc-130j-acd14fd33b,2.1,8,5,,low
e-mc-130j-acd14fd33b,2.1,9,1,verbs=maintains|performs,medium
e-mc-130j-acd14fd33b,2.1,9,3,verbs=maintains|performs,medium
e-mc-130j-acd14fd33b,2.1,9,5,verbs=maintains|performs,medium
e-mc-130j-acd14fd33b,2.1,10,1,verbs=performs|supervises,medium
e-mc-130j-acd14fd33b,2.1,10,3,verbs=performs|supervises,medium
e-mc-130j-acd14fd33b,2.1,10,5,verbs=performs|supervises,medium
e-mc-130j-acd14fd33b,2.1,10,7,verbs=performs|supervises,medium
e-mc-130j-acd14fd33b,2.1,10,9,verbs=performs|supervises,medium
e-mc-130j-acd14fd33b,2.1,11,1,verbs=maintains,medium
e-mc-130j-acd14fd33b,2.1,11,3,verbs=maintains,medium
e-mc-130j-acd14fd33b,2.1,11,5,verbs=maintains,medium
e-mc-130j-acd14fd33b,2.1,12,7,verbs=manages,medium
e-mc-130j-acd14fd33b,2.1,12,9,verbs=manages,medium
e-mc-130j-acd14fd33b,2.1,13,3,verbs=monitors|troubleshoots,medium
e-mc-130j-acd14fd33b,2.1,13,5,verbs=monitors|troubleshoots,medium
e-mc-130j-acd14fd33b,2.1,13,7,verbs=monitors|troubleshoots,medium
e-mc-130j-acd14fd33b,2.1,14,3,verbs=configures|monitors,medium
e-mc-130j-acd14fd33b,2.1,14,5,verbs=configures|monitors,medium
e-mc-130j-acd14fd33b,2.1,14,7,verbs=configures|monitors,medium
e-mc-130j-acd14fd33b,2.1,15,1,,low
e-mc-130j-acd14fd33b,2.1,15,3,,low
e-mc-130j-acd14fd33b,2.1,15,5,,low
e-mc-130j-acd14fd33b,2.1,16,1,,low
e-mc-130j-acd14fd33b,2.1,16,3,,low
e-mc-130j-acd14fd33b,2.1,16,5,,low
e-mc-130j-acd14fd33b,2.1,17,7,verbs=directs,medium
e-mc-130j-acd14fd33b,2.1,17,9,verbs=directs,medium
e-mc-130j-acd14fd33b,2.1,18,7,verbs=evaluates|supervises,medium
e-mc-130j-acd14fd33b,2.1,18,9,verbs=evaluates|supervises,medium
e-mc-130j-acd14fd33b,2.1,19,1,,low
e-mc-130j-acd14fd33b,2.1,19,3,,low
e-mc-130j-acd14fd33b,2.1,19,5,,low
e-mc-130j-acd14fd33b,2.1,20,7,verbs=manages,medium
e-mc-130j-acd14fd33b,2.1,20,9,verbs=manages,medium
e-mc-130j-acd14fd33b,2.1,21,1,verbs=maintains|records,medium
e-mc-130j-acd14fd33b,2.1,21,3,verbs=maintains|records,medium
e-mc-130j-acd14fd33b,2.1,21,5,verbs=maintains|records,medium
e-mc-130j-acd14fd33b,2.1,22,7,verbs=advises,medium
e-mc-130j-acd14fd33b,2.1,22,9,verbs=advises,medium
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.1,0,7,verbs=directs|leads|manages,high
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.1,0,9,verbs=directs|leads|manages,high
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.2,1,3,verbs=monitors,medium
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.2,1,5,verbs=monitors,medium
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.2,1,7,verbs=monitors,medium
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.3,2,5,verbs=plans,medium
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.3,2,7,verbs=plans,medium
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.3,2,9,verbs=plans,medium
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.4,3,7,verbs=evaluates,medium
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.4,3,9,verbs=evaluates,medium
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.5,4,5,verbs=analyzes,medium
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.5,4,7,verbs=analyzes,medium
sel-airborne-intelligence-surveillance-and-reconnaissance-e98612e433,2.5,4,9,verbs=analyzes,medium
