doc_id,cem_code,afsc_title,afsc_codes,afsc_families,skill_digits,skill_labels
bioenvironmental-engineering-bf769ba7d0,4C000,BIOENVIRONMENTAL ENGINEERING,4C091;4C071;4C051;4C031;4C011,4C0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
mental-health-service-e735830fb6,4D000,MENTAL HEALTH SERVICE,4D091;4D071;4D051;4D031;4D011,4D0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
diet-therapy-0d15aedd48,4E000,DIET THERAPY,4E091;4E071;4E051;4E031;4E011,4E0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
public-health-3682dc3c36,4H000,PUBLIC HEALTH,4H091;4H071;4H051;4H031;4H011,4H0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
respiratory-care-practitioner-9fdac629f2,4J000,RESPIRATORY CARE PRACTITIONER,4J090;4J072*;4J052*;4J032*;4J012*,4J0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
physical-medicine-63da66c178,4N000,PHYSICAL MEDICINE,4N091;4N071*;4N051*;4N031*;4N011*,4N0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
aerospace-medical-service-ea4d2c24d8,4N000,AEROSPACE MEDICAL SERVICE,4N191;4N171*;4N151*;4N131*;4N111*,4N1,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
surgical-technologist-fce66c63aa,4P000,SURGICAL TECHNOLOGIST,4P091;4P071;4P051;4P031;4P011,4P0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
pharmacy-f5dc32fabd,4R000,PHARMACY,4R090;4R071*;4R051*;4R031*;4R011*,4R0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
diagnostic-imaging-5004c2d106,4T000,DIAGNOSTIC IMAGING,4T090,4T0,9,superintendent
medical-laboratory-d8165d6df5,,MEDICAL LABORATORY,4T090;4T071;4T051;4T031;4T011,4T0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
medical-laboratory-5614d4161c,,MEDICAL LABORATORY,4T072;4T052;4T032;4T012,4T0,1;3;5;7,helper;apprentice;journeyman;craftsman
histopathology-fb7cf672ac,4V000,HISTOPATHOLOGY,4V091;4V071*;4V051*;4V031*;4V011*,4V0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
ophthalmic-a0ea771f6f,,OPHTHALMIC,,,,
dental-career-field-9b868d85a3,4Y000,DENTAL CAREER FIELD,4Y090;4Y071*;4Y051*;4Y031;4Y011,4Y0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
dental-assistant-0d7813bb4e,,DENTAL ASSISTANT,4Y072;4Y052;4Y032;4Y012,4Y0,1;3;5;7,helper;apprentice;journeyman;craftsman
dental-laboratory-d0fef3975a,,DENTAL LABORATORY,,,,
paralegal-career-field-ae53175a45,5J000,PARALEGAL CAREER FIELD,5J091;5J071;5J051;5J031;5J011,5J0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
paralegal-76a3f1a619,,PARALEGAL,,,,
